Rank,grid_id,Actual_Crime_Count,Target_Period
984,2744,0,202302
985,1317,0,202302
986,728,0,202302
987,2518,0,202302
988,820,0,202302
989,1281,0,202302
990,1802,0,202302
991,453,0,202302
992,2154,0,202302
993,2651,0,202302
994,2394,0,202302
995,2296,0,202302
996,1984,0,202302
997,1279,0,202302
998,1269,0,202302
999,1530,0,202302
1000,71,0,202302
1001,1193,0,202302
1002,1891,0,202302
1003,1147,0,202302
1004,1262,0,202302
1005,1897,0,202302
1006,1393,0,202302
1007,617,0,202302
1008,1283,0,202302
1009,1511,0,202302
1010,1334,0,202302
1011,1909,0,202302
1012,1163,0,202302
1013,2301,0,202302
1014,65,0,202302
1015,1297,0,202302
1016,2717,0,202302
1017,976,0,202302
1018,339,0,202302
1019,227,0,202302
1020,1578,0,202302
1021,1756,0,202302
1022,2221,0,202302
1023,2675,0,202302
1024,62,0,202302
1025,901,0,202302
1026,2379,0,202302
1027,2083,0,202302
1028,893,0,202302
1029,935,0,202302
1030,2384,0,202302
1031,246,0,202302
1032,1376,0,202302
1033,1994,0,202302
1034,2721,0,202302
1035,736,0,202302
1036,523,0,202302
1037,459,0,202302
1038,2137,0,202302
1039,1135,0,202302
1040,2023,0,202302
1041,2810,0,202302
1042,2510,0,202302
1043,175,0,202302
1044,994,0,202302
1045,990,0,202302
1046,971,0,202302
1047,966,0,202302
1048,963,0,202302
1049,962,0,202302
1050,2307,0,202302
1051,95,0,202302
1052,949,0,202302
1053,948,0,202302
1054,942,0,202302
1055,941,0,202302
1056,940,0,202302
1057,94,0,202302
1058,919,0,202302
1059,923,0,202302
1060,831,0,202302
1061,961,0,202302
1062,1931,0,202302
1063,582,0,202302
1064,1787,0,202302
1065,1983,0,202302
1066,2010,0,202302
1067,1744,0,202302
1068,599,0,202302
1069,2477,0,202302
1070,1156,0,202302
1071,1453,0,202302
1072,773,0,202302
1073,2346,0,202302
1074,150,0,202302
1075,1040,0,202302
1076,593,0,202302
1077,2142,0,202302
1078,1187,0,202302
1079,904,0,202302
1080,296,0,202302
1081,621,0,202302
1082,34,0,202302
1083,113,0,202302
1084,1201,0,202302
1085,2798,0,202302
1086,1939,0,202302
1087,97,0,202302
1088,956,0,202302
1089,2037,0,202302
1090,691,0,202302
1091,290,0,202302
1092,2647,0,202302
1093,877,0,202302
1094,920,0,202302
1095,2432,0,202302
1096,1685,0,202302
1097,2014,0,202302
1098,325,0,202302
1099,1913,0,202302
1100,2340,0,202302
1101,1033,0,202302
1102,898,0,202302
1103,1098,0,202302
1104,1861,0,202302
1105,1594,0,202302
1106,2278,0,202302
1107,1750,0,202302
1108,1777,0,202302
1109,2728,0,202302
1110,444,0,202302
1111,721,0,202302
1112,2787,0,202302
1113,2661,0,202302
1114,1036,0,202302
1115,1637,0,202302
1116,982,0,202302
1117,1770,0,202302
1118,87,0,202302
1119,127,0,202302
1120,2403,0,202302
1121,1353,0,202302
1122,1225,0,202302
1123,2421,0,202302
1124,1032,0,202302
1125,1081,0,202302
1126,1908,0,202302
1127,660,0,202302
1128,1289,0,202302
1129,315,0,202302
1130,1458,0,202302
1131,891,0,202302
1132,1796,0,202302
1133,1385,0,202302
1134,710,0,202302
1135,2276,0,202302
1136,943,0,202302
1137,792,0,202302
1138,88,0,202302
1139,879,0,202302
1140,849,0,202302
1141,2015,0,202302
1142,689,0,202302
1143,612,0,202302
1144,1258,0,202302
1145,53,0,202302
1146,1411,0,202302
1147,1167,0,202302
1148,590,0,202302
1149,2305,0,202302
1150,157,0,202302
1151,876,0,202302
1152,597,0,202302
1153,2205,0,202302
1154,99,0,202302
1155,2645,0,202302
1156,27,0,202302
1157,2401,0,202302
1158,1541,0,202302
1159,233,0,202302
1160,2009,0,202302
1161,2020,0,202302
1162,52,0,202302
1163,2107,0,202302
