Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Is_Highlighted
433,190,0.0,0,0,301,False
434,191,0.0,0,0,291,False
435,192,0.0,0,0,119,False
436,199,0.0,0,0,288,False
437,200,0.0,0,0,219,False
438,201,0.0,0,0,529,False
439,202,0.0,0,0,283,False
440,205,0.0,0,1,924,False
441,208,0.0,0,1,565,False
442,213,0.0,0,0,139,False
443,214,0.0,0,0,348,False
444,217,0.0,0,0,323,False
445,218,0.0,0,0,281,False
446,219,0.0,0,0,251,False
447,222,0.0,0,0,805,False
448,228,0.0,0,0,209,False
449,229,0.0,0,0,139,False
450,231,0.0,0,0,11,False
451,238,0.0,0,0,653,False
452,245,0.0,0,0,152,False
453,248,0.0,0,0,515,False
454,250,0.0,0,0,283,False
455,253,0.0,0,0,278,False
456,255,0.0,0,2,372,False
457,260,0.0,0,0,186,False
458,264,0.0,0,0,260,False
459,265,0.0,0,0,277,False
460,269,0.0,0,0,118,False
461,273,0.0,0,0,220,False
462,274,0.0,0,1,553,False
463,275,0.0,0,0,810,False
464,276,0.0,0,0,1102,False
465,277,0.0,0,0,343,False
466,278,0.0,0,0,177,False
467,279,0.0,0,0,606,False
468,281,0.0,0,0,390,False
469,282,0.0,0,0,N/A,False
470,283,0.0,0,0,639,False
471,286,0.0,0,0,479,False
472,287,0.0,0,0,407,False
473,289,0.0,0,0,332,False
474,299,0.0,0,0,126,False
475,302,0.0,0,0,517,False
476,307,0.0,0,0,431,False
477,308,0.0,0,0,77,False
478,310,0.0,0,0,445,False
479,311,0.0,0,0,268,False
480,313,0.0,0,1,169,False
481,314,0.0,0,0,355,False
482,315,0.0,0,0,10,False
483,318,0.0,0,0,268,False
484,319,0.0,0,0,388,False
485,321,0.0,0,0,360,False
486,322,0.0,0,0,358,False
487,324,0.0,0,0,290,False
488,325,0.0,0,0,750,False
489,328,0.0,0,0,494,False
490,329,0.0,0,0,132,False
491,330,0.0,0,0,141,False
492,334,0.0,0,0,546,False
493,335,0.0,0,0,87,False
494,337,0.0,0,0,489,False
495,339,0.0,0,0,3,False
496,340,0.0,0,0,26,False
497,343,0.0,0,0,518,False
498,347,0.0,0,0,363,False
499,357,0.0,0,0,258,False
500,360,0.0,0,0,246,False
501,365,0.0,0,0,127,False
502,367,0.0,0,0,370,False
503,369,0.0,0,1,14,False
504,370,0.0,0,0,180,False
505,373,0.0,0,0,247,False
506,374,0.0,0,0,563,False
507,376,0.0,0,0,162,False
508,379,0.0,0,0,301,False
509,380,0.0,0,0,619,False
510,381,0.0,0,0,251,False
511,384,0.0,0,0,690,False
512,386,0.0,0,0,287,False
513,388,0.0,0,0,16,False
514,390,0.0,0,0,369,False
515,393,0.0,0,0,429,False
516,394,0.0,0,0,177,False
517,395,0.0,0,0,475,False
518,397,0.0,0,0,357,False
519,398,0.0,0,0,316,False
520,401,0.0,0,0,241,False
521,402,0.0,0,0,497,False
522,406,0.0,0,0,295,False
523,408,0.0,0,0,545,False
524,413,0.0,0,0,28,False
525,417,0.0,0,0,127,False
526,422,0.0,0,0,114,False
527,425,0.0,0,0,437,False
528,428,0.0,0,0,216,False
529,431,0.0,0,0,410,False
530,434,0.0,0,0,69,False
531,436,0.0,0,0,343,False
532,437,0.0,0,0,808,False
533,438,0.0,0,0,428,False
534,440,0.0,0,0,579,False
535,444,0.0,0,0,33,False
536,445,0.0,0,0,636,False
537,446,0.0,0,0,223,False
538,447,0.0,0,0,221,False
539,448,0.0,0,0,421,False
540,453,0.0,0,0,241,False
541,456,0.0,0,1,19,False
542,457,0.0,0,1,49,False
543,460,0.0,0,0,132,False
544,463,0.0,0,1,196,False
545,466,0.0,0,0,523,False
546,469,0.0,0,0,77,False
547,470,0.0,0,0,394,False
548,481,0.0,0,0,706,False
549,484,0.0,0,0,186,False
550,485,0.0,0,0,128,False
551,486,0.0,0,0,659,False
552,488,0.0,0,0,835,False
553,491,0.0,0,0,462,False
554,494,0.0,0,0,283,False
555,496,0.0,0,0,523,False
556,499,0.0,0,0,364,False
557,501,0.0,0,0,456,False
558,504,0.0,0,0,291,False
559,505,0.0,0,0,276,False
560,507,0.0,0,0,253,False
561,508,0.0,0,0,361,False
562,509,0.0,0,1,476,False
563,511,0.0,0,0,506,False
564,514,0.0,0,0,69,False
565,515,0.0,0,0,389,False
566,519,0.0,0,0,361,False
567,522,0.0,0,0,584,False
568,524,0.0,0,0,25,False
569,526,0.0,0,0,147,False
570,527,0.0,0,0,611,False
571,528,0.0,0,0,629,False
572,529,0.0,0,0,165,False
573,531,0.0,0,0,803,False
574,533,0.0,0,0,544,False
575,534,0.0,0,0,418,False
576,535,0.0,0,0,322,False
577,538,0.0,0,0,272,False
578,541,0.0,0,0,29,False
579,543,0.0,0,0,358,False
580,546,0.0,0,0,131,False
581,547,0.0,0,0,205,False
582,552,0.0,0,0,630,False
583,553,0.0,0,0,764,False
584,556,0.0,0,0,489,False
585,557,0.0,0,0,497,False
586,558,0.0,0,0,86,False
587,560,0.0,0,0,385,False
588,563,0.0,0,0,40,False
589,566,0.0,0,0,288,False
590,569,0.0,0,0,424,False
591,573,0.0,0,0,330,False
592,574,0.0,0,0,135,False
593,579,0.0,0,0,210,False
594,580,0.0,0,0,188,False
595,584,0.0,0,0,294,False
596,586,0.0,0,0,293,False
597,587,0.0,0,0,580,False
598,588,0.0,0,0,680,False
599,589,0.0,0,0,644,False
600,590,0.0,0,0,42,False
601,594,0.0,0,0,363,False
602,596,0.0,0,0,179,False
603,597,0.0,0,0,186,False
604,600,0.0,0,0,215,False
605,601,0.0,0,0,615,False
606,602,0.0,0,0,86,False
607,605,0.0,0,0,17,False
608,609,0.0,0,0,302,False
609,612,0.0,0,0,148,False
610,621,0.0,0,0,118,False
611,624,0.0,0,0,570,False
612,630,0.0,0,0,746,False
613,632,0.0,0,0,353,False
614,634,0.0,0,0,369,False
615,636,0.0,0,0,605,False
616,638,0.0,0,0,618,False
617,639,0.0,0,0,453,False
618,642,0.0,0,0,616,False
619,644,0.0,0,0,509,False
620,646,0.0,0,0,649,False
621,649,0.0,0,0,29,False
622,650,0.0,0,0,297,False
623,651,0.0,0,0,457,False
624,652,0.0,0,0,303,False
625,654,0.0,0,0,183,False
626,655,0.0,0,0,29,False
627,656,0.0,0,0,312,False
628,657,0.0,0,0,142,False
629,658,0.0,0,0,571,False
630,659,0.0,0,0,582,False
631,660,0.0,0,0,112,False
632,662,0.0,0,0,N/A,False
633,668,0.0,0,0,180,False
634,670,0.0,0,0,570,False
635,671,0.0,0,1,123,False
636,672,0.0,0,0,536,False
637,674,0.0,0,0,10,False
638,675,0.0,0,0,129,False
639,677,0.0,0,0,470,False
640,678,0.0,0,0,766,False
641,679,0.0,0,0,186,False
642,680,0.0,0,0,258,False
643,682,0.0,0,0,271,False
644,683,0.0,0,0,363,False
645,687,0.0,0,0,43,False
646,689,0.0,0,0,28,False
647,690,0.0,0,0,177,False
648,697,0.0,0,0,351,False
649,698,0.0,0,0,416,False
650,700,0.0,0,0,155,False
651,701,0.0,0,0,673,False
652,702,0.0,0,0,69,False
653,704,0.0,0,0,451,False
654,706,0.0,0,0,664,False
655,711,0.0,0,0,1193,False
656,712,0.0,0,0,434,False
657,714,0.0,0,0,301,False
658,715,0.0,0,0,360,False
659,719,0.0,0,0,551,False
660,721,0.0,0,0,656,False
661,722,0.0,0,0,582,False
662,723,0.0,0,0,574,False
663,725,0.0,0,0,233,False
664,726,0.0,0,0,369,False
665,728,0.0,0,0,177,False
666,731,0.0,0,0,64,False
667,733,0.0,0,0,277,False
668,736,0.0,0,0,381,False
669,737,0.0,0,0,694,False
670,738,0.0,0,0,283,False
671,740,0.0,0,0,140,False
672,741,0.0,0,0,398,False
673,742,0.0,0,0,406,False
674,743,0.0,0,0,506,False
675,745,0.0,0,0,431,False
676,749,0.0,0,0,261,False
677,754,0.0,0,0,411,False
678,763,0.0,0,0,358,False
679,766,0.0,0,0,206,False
680,768,0.0,0,0,598,False
681,769,0.0,0,0,656,False
682,774,0.0,0,0,101,False
683,775,0.0,0,0,606,False
684,778,0.0,0,0,438,False
685,782,0.0,0,0,241,False
686,783,0.0,0,0,147,False
687,784,0.0,0,0,523,False
688,785,0.0,0,0,N/A,False
689,786,0.0,0,0,595,False
690,787,0.0,0,0,475,False
691,794,0.0,0,0,345,False
692,797,0.0,0,0,883,False
693,800,0.0,0,0,77,False
694,802,0.0,0,0,427,False
695,804,0.0,0,0,179,False
696,806,0.0,0,0,246,False
697,810,0.0,0,0,472,False
698,812,0.0,0,0,118,False
699,814,0.0,0,0,262,False
700,816,0.0,0,0,44,False
701,817,0.0,0,0,16,False
702,818,0.0,0,0,326,False
703,820,0.0,0,0,416,False
704,822,0.0,0,0,189,False
705,823,0.0,0,0,174,False
706,825,0.0,0,0,536,False
707,826,0.0,0,0,304,False
708,831,0.0,0,1,544,False
709,832,0.0,0,0,355,False
710,833,0.0,0,0,192,False
711,834,0.0,0,0,288,False
712,838,0.0,0,0,308,False
713,843,0.0,0,0,247,False
714,848,0.0,0,0,536,False
715,849,0.0,0,0,36,False
716,850,0.0,0,0,103,False
717,855,0.0,0,0,804,False
718,856,0.0,0,0,519,False
719,858,0.0,0,0,366,False
720,859,0.0,0,0,427,False
721,860,0.0,0,0,227,False
722,862,0.0,0,0,77,False
723,863,0.0,0,0,487,False
724,867,0.0,0,0,357,False
725,869,0.0,0,0,316,False
726,870,0.0,0,0,277,False
727,871,0.0,0,0,254,False
728,875,0.0,0,0,459,False
729,880,0.0,0,0,366,False
730,882,0.0,0,0,462,False
731,884,0.0,0,0,404,False
732,885,0.0,0,0,264,False
733,887,0.0,0,0,416,False
734,894,0.0,0,0,511,False
735,896,0.0,0,0,210,False
736,897,0.0,0,0,407,False
737,898,0.0,0,0,623,False
738,901,0.0,0,0,165,False
739,902,0.0,0,0,12,False
740,903,0.0,0,0,497,False
741,906,0.0,0,0,48,False
742,908,0.0,0,0,426,False
743,909,0.0,0,0,572,False
744,914,0.0,0,0,380,False
745,915,0.0,0,0,220,False
746,919,0.0,0,0,570,False
747,923,0.0,0,0,316,False
748,925,0.0,0,0,165,False
749,927,0.0,0,0,238,False
750,930,0.0,0,0,419,False
751,934,0.0,0,0,166,False
752,935,0.0,0,0,10,False
753,939,0.0,0,0,271,False
754,940,0.0,0,0,349,False
755,941,0.0,0,0,372,False
756,942,0.0,0,0,396,False
757,943,0.0,0,0,220,False
758,949,0.0,0,0,883,False
759,951,0.0,0,0,26,False
760,952,0.0,0,0,358,False
761,955,0.0,0,0,459,False
