Rank,grid_id,Actual_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
23,2083,2,202304,-82.5300168889,27.3350609285,27.334379109078508,-82.5307844127989,27.33574274792149,-82.52924936500109,"[(np.float64(27.334379109078508), np.float64(-82.5307844127989)), (np.float64(27.33574274792149), np.float64(-82.52924936500109))]"
24,2829,2,202304,-82.534439513,27.2993053544,27.29862353497851,-82.53520678953929,27.299987173821492,-82.5336722364607,"[(np.float64(27.29862353497851), np.float64(-82.53520678953929)), (np.float64(27.299987173821492), np.float64(-82.5336722364607))]"
25,512,2,202304,-82.5469912735,27.3418724461,27.341190626678507,-82.54775884457347,27.34255426552149,-82.54622370242653,"[(np.float64(27.341190626678507), np.float64(-82.54775884457347)), (np.float64(27.34255426552149), np.float64(-82.54622370242653))]"
26,2199,2,202304,-82.5378433686,27.3611633906,27.36048157117851,-82.53861107336719,27.361845210021492,-82.5370756638328,"[(np.float64(27.36048157117851), np.float64(-82.53861107336719)), (np.float64(27.361845210021492), np.float64(-82.5370756638328))]"
27,1850,2,202304,-82.5300496049,27.3419377589,27.341255939478508,-82.53081717642588,27.34261957832149,-82.52928203337412,"[(np.float64(27.341255939478508), np.float64(-82.53081717642588)), (np.float64(27.34261957832149), np.float64(-82.52928203337412))]"
28,1383,2,202304,-82.5470520745,27.3542506892,27.35356886977851,-82.54781973134413,27.35493250862149,-82.54628441765587,"[(np.float64(27.35356886977851), np.float64(-82.54781973134413)), (np.float64(27.35493250862149), np.float64(-82.54628441765587))]"
29,150,2,202304,-82.5378300775,27.3584126704,27.35773085097851,-82.53859776319547,27.35909448982149,-82.53706239180454,"[(np.float64(27.35773085097851), np.float64(-82.53859776319547)), (np.float64(27.35909448982149), np.float64(-82.53706239180454))]"
30,2510,2,202304,-82.5439244063,27.344635198,27.343953378578508,-82.5446919965122,27.34531701742149,-82.54315681608779,"[(np.float64(27.343953378578508), np.float64(-82.5446919965122)), (np.float64(27.34531701742149), np.float64(-82.54315681608779))]"
31,1255,2,202304,-82.5392971808,27.3432777516,27.342595932178508,-82.54006476160826,27.34395957102149,-82.53852959999175,"[(np.float64(27.342595932178508), np.float64(-82.54006476160826)), (np.float64(27.34395957102149), np.float64(-82.53852959999175))]"
32,1274,2,202304,-82.4930492509,27.3338208833,27.33313906387851,-82.49381676621252,27.33450270272149,-82.49228173558748,"[(np.float64(27.33313906387851), np.float64(-82.49381676621252)), (np.float64(27.33450270272149), np.float64(-82.49228173558748))]"
33,1966,2,202304,-82.5207893821,27.3378464146,27.33716459517851,-82.52155692528835,27.338528234021492,-82.52002183891166,"[(np.float64(27.33716459517851), np.float64(-82.52155692528835)), (np.float64(27.338528234021492), np.float64(-82.52002183891166))]"
34,1045,2,202304,-82.5330180796,27.3185447973,27.31786297787851,-82.53378548918216,27.31922661672149,-82.53225067001783,"[(np.float64(27.31786297787851), np.float64(-82.53378548918216)), (np.float64(27.31922661672149), np.float64(-82.53225067001783))]"
35,2125,2,202304,-82.5331760006,27.3515535829,27.35087176347851,-82.5339436387508,27.35223540232149,-82.53240836244919,"[(np.float64(27.35087176347851), np.float64(-82.5339436387508)), (np.float64(27.35223540232149), np.float64(-82.53240836244919))]"
36,976,2,202304,-82.5363095774,27.3625446761,27.36186285667851,-82.53707729174516,27.36322649552149,-82.53554186305485,"[(np.float64(27.36186285667851), np.float64(-82.53707729174516)), (np.float64(27.36322649552149), np.float64(-82.53554186305485))]"
37,2307,2,202304,-82.5362963234,27.3597939557,27.359112136278508,-82.53706401867207,27.36047577512149,-82.53552862812792,"[(np.float64(27.359112136278508), np.float64(-82.53706401867207)), (np.float64(27.36047577512149), np.float64(-82.53552862812792))]"
38,120,2,202304,-82.5332221117,27.3611811159,27.36049929647851,-82.5339898165901,27.36186293532149,-82.5324544068099,"[(np.float64(27.36049929647851), np.float64(-82.5339898165901)), (np.float64(27.36186293532149), np.float64(-82.5324544068099))]"
39,705,2,202304,-82.531668553,27.3584362673,27.35775444787851,-82.53243623885906,27.35911808672149,-82.53090086714094,"[(np.float64(27.35775444787851), np.float64(-82.53243623885906)), (np.float64(27.35911808672149), np.float64(-82.53090086714094))]"
40,1103,2,202304,-82.5316619842,27.3570609054,27.35637908597851,-82.53242966052419,27.35774272482149,-82.53089430787581,"[(np.float64(27.35637908597851), np.float64(-82.53242966052419)), (np.float64(27.35774272482149), np.float64(-82.53089430787581))]"
41,1302,2,202304,-82.4977062645,27.3420567419,27.341374922478508,-82.49847383685007,27.34273856132149,-82.49693869214993,"[(np.float64(27.341374922478508), np.float64(-82.49847383685007)), (np.float64(27.34273856132149), np.float64(-82.49693869214993))]"
42,459,2,202304,-82.533215523,27.3598057548,27.35912393537851,-82.53398321835388,27.36048757422149,-82.53244782764611,"[(np.float64(27.35912393537851), np.float64(-82.53398321835388)), (np.float64(27.36048757422149), np.float64(-82.53244782764611))]"
43,741,2,202304,-82.5298861414,27.307553539,27.30687171957851,-82.53065347496015,27.30823535842149,-82.52911880783985,"[(np.float64(27.30687171957851), np.float64(-82.53065347496015)), (np.float64(27.30823535842149), np.float64(-82.52911880783985))]"
44,1158,2,202304,-82.5253967091,27.3350783794,27.334396559978508,-82.52616423311974,27.33576019882149,-82.52462918508024,"[(np.float64(27.334396559978508), np.float64(-82.52616423311974)), (np.float64(27.33576019882149), np.float64(-82.52462918508024))]"
45,2275,2,202304,-82.5222714693,27.3254623427,27.32478052327851,-82.52303892675019,27.32614416212149,-82.5215040118498,"[(np.float64(27.32478052327851), np.float64(-82.52303892675019)), (np.float64(27.32614416212149), np.float64(-82.5215040118498))]"
46,2142,2,202304,-82.540797292,27.3350196156,27.33433779617851,-82.54156481561283,27.33570143502149,-82.54002976838716,"[(np.float64(27.33433779617851), np.float64(-82.54156481561283)), (np.float64(27.33570143502149), np.float64(-82.54002976838716))]"
47,2662,2,202304,-82.5316948326,27.3639377122,27.363255892778508,-82.53246255660531,27.36461953162149,-82.53092710859468,"[(np.float64(27.363255892778508), np.float64(-82.53246255660531)), (np.float64(27.36461953162149), np.float64(-82.53092710859468))]"
48,699,2,202304,-82.5392572358,27.3350255684,27.334343748978508,-82.54002475945406,27.33570738782149,-82.53848971214593,"[(np.float64(27.334343748978508), np.float64(-82.54002475945406)), (np.float64(27.33570738782149), np.float64(-82.53848971214593))]"
49,551,2,202304,-82.5409108369,27.35840077,27.35771895057851,-82.54167852251297,27.35908258942149,-82.54014315128703,"[(np.float64(27.35771895057851), np.float64(-82.54167852251297)), (np.float64(27.35908258942149), np.float64(-82.54014315128703))]"
50,52,2,202304,-82.5300103471,27.3336855616,27.33300374217851,-82.53077786147554,27.33436738102149,-82.52924283272446,"[(np.float64(27.33300374217851), np.float64(-82.53077786147554)), (np.float64(27.33436738102149), np.float64(-82.52924283272446))]"
51,113,2,202304,-82.5501870965,27.3652414455,27.36455962607851,-82.5509548295468,27.36592326492149,-82.5494193634532,"[(np.float64(27.36455962607851), np.float64(-82.5509548295468)), (np.float64(27.36592326492149), np.float64(-82.5494193634532))]"
52,2560,1,202304,-82.5533501274,27.3817335163,27.381051696878508,-82.55411797487336,27.38241533572149,-82.55258227992663,"[(np.float64(27.381051696878508), np.float64(-82.55411797487336)), (np.float64(27.38241533572149), np.float64(-82.55258227992663))]"
53,45,1,202304,-82.5500511982,27.3377342665,27.33705244707851,-82.55081874061166,27.33841608592149,-82.54928365578833,"[(np.float64(27.33705244707851), np.float64(-82.55081874061166)), (np.float64(27.33841608592149), np.float64(-82.54928365578833))]"
54,2084,1,202304,-82.5439512758,27.3501366427,27.34945482327851,-82.54471890413119,27.35081846212149,-82.54318364746881,"[(np.float64(27.34945482327851), np.float64(-82.54471890413119)), (np.float64(27.35081846212149), np.float64(-82.54318364746881))]"
55,1347,1,202304,-82.5099583186,27.3268832141,27.32620139467851,-82.51072578588446,27.32756503352149,-82.50919085131554,"[(np.float64(27.32620139467851), np.float64(-82.51072578588446)), (np.float64(27.32756503352149), np.float64(-82.50919085131554))]"
56,958,1,202304,-82.5331101675,27.3377999413,27.337118121878508,-82.5338777103665,27.33848176072149,-82.5323426246335,"[(np.float64(27.337118121878508), np.float64(-82.5338777103665)), (np.float64(27.33848176072149), np.float64(-82.5323426246335))]"
57,25,1,202304,-82.5192108307,27.329599931,27.32891811157851,-82.51997831678968,27.33028175042149,-82.51844334461033,"[(np.float64(27.32891811157851), np.float64(-82.51997831678968)), (np.float64(27.33028175042149), np.float64(-82.51844334461033))]"
58,127,1,202304,-82.5377968579,27.351535865,27.350854045578508,-82.53856449592801,27.35221768442149,-82.537029219872,"[(np.float64(27.350854045578508), np.float64(-82.53856449592801)), (np.float64(27.35221768442149), np.float64(-82.537029219872))]"
59,2205,1,202304,-82.5485720661,27.3501185691,27.34943674967851,-82.54933969430594,27.350800388521492,-82.54780443789404,"[(np.float64(27.34943674967851), np.float64(-82.54933969430594)), (np.float64(27.350800388521492), np.float64(-82.54780443789404))]"
60,1439,1,202304,-82.5376442001,27.3199024724,27.319220652978508,-82.53841161907566,27.32058429182149,-82.53687678112435,"[(np.float64(27.319220652978508), np.float64(-82.53841161907566)), (np.float64(27.32058429182149), np.float64(-82.53687678112435))]"
61,992,1,202304,-82.5299776451,27.3268087231,27.32612690367851,-82.53074511186888,27.327490542521492,-82.52921017833113,"[(np.float64(27.32612690367851), np.float64(-82.53074511186888)), (np.float64(27.327490542521492), np.float64(-82.52921017833113))]"
