Rank,grid_id,Crime_T1,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
16,2076,2,202304,-82.5424579184,27.3597701535,27.35908833407851,-82.54322561350705,27.360451972921492,-82.54169022329296,"[(np.float64(27.35908833407851), np.float64(-82.54322561350705)), (np.float64(27.360451972921492), np.float64(-82.54169022329296))]"
17,1453,1,202304,-82.5054510132,27.3514738009,27.35079198147851,-82.50621865079788,27.35215562032149,-82.50468337560213,"[(np.float64(27.35079198147851), np.float64(-82.50621865079788)), (np.float64(27.35215562032149), np.float64(-82.50468337560213))]"
18,2753,0,202304,-82.548551742,27.3459924891,27.345310669678508,-82.54931934161574,27.34667430852149,-82.54778414238426,"[(np.float64(27.345310669678508), np.float64(-82.54931934161574)), (np.float64(27.34667430852149), np.float64(-82.54778414238426))]"
19,873,6,202304,-82.5392838639,27.340527025,27.33984520557851,-82.54005142565416,27.34120884442149,-82.53851630214584,"[(np.float64(27.33984520557851), np.float64(-82.54005142565416)), (np.float64(27.34120884442149), np.float64(-82.53851630214584))]"
20,551,1,202304,-82.5409108369,27.35840077,27.35771895057851,-82.54167852251297,27.35908258942149,-82.54014315128703,"[(np.float64(27.35771895057851), np.float64(-82.54167852251297)), (np.float64(27.35908258942149), np.float64(-82.54014315128703))]"
21,1189,1,202304,-82.542384218,27.3446411871,27.343959367678508,-82.5431518082537,27.34532300652149,-82.5416166277463,"[(np.float64(27.343959367678508), np.float64(-82.5431518082537)), (np.float64(27.34532300652149), np.float64(-82.5416166277463))]"
22,2571,1,202304,-82.5284768295,27.3350667625,27.334384943078508,-82.5292443534393,27.33574858192149,-82.52770930556069,"[(np.float64(27.334384943078508), np.float64(-82.5292443534393)), (np.float64(27.33574858192149), np.float64(-82.52770930556069))]"
23,1099,3,202304,-82.5424512159,27.3583947943,27.35771297487851,-82.54321890147153,27.35907661372149,-82.54168353032847,"[(np.float64(27.35771297487851), np.float64(-82.54321890147153)), (np.float64(27.35907661372149), np.float64(-82.54168353032847))]"
24,772,2,202304,-82.5299841846,27.3281840914,27.32750227197851,-82.53075166088885,27.32886591082149,-82.52921670831114,"[(np.float64(27.32750227197851), np.float64(-82.53075166088885)), (np.float64(27.32886591082149), np.float64(-82.52921670831114))]"
25,1340,0,202304,-82.5300954268,27.35156531,27.35088349057851,-82.53086306503208,27.352247129421492,-82.52932778856793,"[(np.float64(27.35088349057851), np.float64(-82.53086306503208)), (np.float64(27.352247129421492), np.float64(-82.52932778856793))]"
26,1994,0,202304,-82.5238695812,27.3378348982,27.33715307877851,-82.5246371243086,27.33851671762149,-82.52310203809141,"[(np.float64(27.33715307877851), np.float64(-82.5246371243086)), (np.float64(27.33851671762149), np.float64(-82.52310203809141))]"
27,1231,0,202304,-82.5315635092,27.3364304439,27.33574862447851,-82.53233104258243,27.33711226332149,-82.53079597581757,"[(np.float64(27.33574862447851), np.float64(-82.53233104258243)), (np.float64(27.33711226332149), np.float64(-82.53079597581757))]"
28,1114,1,202304,-82.5438774029,27.3350076592,27.334325839778508,-82.54464492643004,27.33568947862149,-82.54310987936995,"[(np.float64(27.334325839778508), np.float64(-82.54464492643004)), (np.float64(27.33568947862149), np.float64(-82.54310987936995))]"
29,246,1,202304,-82.5362764459,27.3556678731,27.35498605367851,-82.53704411256751,27.35634969252149,-82.53550877923249,"[(np.float64(27.35498605367851), np.float64(-82.53704411256751)), (np.float64(27.35634969252149), np.float64(-82.53550877923249))]"
