Rank,grid_id,Predicted_Crime_Count,Target_Period,center_longitude,center_latitude,southwest_lat,southwest_lng,northeast_lat,northeast_lng,bounds
31,2671,1,202303,-82.5331891729,27.354304308,27.35362248857851,-82.53395683011578,27.35498612742149,-82.5324215156842,"[(np.float64(27.35362248857851), np.float64(-82.53395683011578)), (np.float64(27.35498612742149), np.float64(-82.5324215156842))]"
32,1743,1,202303,-82.540904154,27.3570254101,27.35634359067851,-82.54167183007813,27.35770722952149,-82.54013647792188,"[(np.float64(27.35634359067851), np.float64(-82.54167183007813)), (np.float64(27.35770722952149), np.float64(-82.54013647792188))]"
33,1700,1,202303,-82.5438841163,27.3363830227,27.33570120327851,-82.54465164935405,27.337064842121492,-82.54311658324596,"[(np.float64(27.33570120327851), np.float64(-82.54465164935405)), (np.float64(27.337064842121492), np.float64(-82.54311658324596))]"
34,140,0,202303,-82.5392638921,27.336400933,27.33571911357851,-82.54003142527806,27.33708275242149,-82.53849635892193,"[(np.float64(27.33571911357851), np.float64(-82.54003142527806)), (np.float64(27.33708275242149), np.float64(-82.53849635892193))]"
35,1850,0,202303,-82.5300496049,27.3419377589,27.341255939478508,-82.53081717642588,27.34261957832149,-82.52928203337412,"[(np.float64(27.341255939478508), np.float64(-82.53081717642588)), (np.float64(27.34261957832149), np.float64(-82.52928203337412))]"
36,773,0,202303,-82.5517275678,27.3652353661,27.364553546678508,-82.55249530080464,27.36591718552149,-82.55095983479536,"[(np.float64(27.364553546678508), np.float64(-82.55249530080464)), (np.float64(27.36591718552149), np.float64(-82.55095983479536))]"
37,70,0,202303,-82.533202347,27.357055032,27.35637321257851,-82.53397002328347,27.357736851421492,-82.53243467071653,"[(np.float64(27.35637321257851), np.float64(-82.53397002328347)), (np.float64(27.357736851421492), np.float64(-82.53243467071653))]"
38,2420,0,202303,-82.5454645941,27.3446291918,27.34394737237851,-82.5462321842706,27.34531101122149,-82.5446970039294,"[(np.float64(27.34394737237851), np.float64(-82.5462321842706)), (np.float64(27.34531101122149), np.float64(-82.5446970039294))]"
39,285,0,202303,-82.5454511241,27.3418784685,27.34119664907851,-82.54621869521517,27.34256028792149,-82.54468355298482,"[(np.float64(27.34119664907851), np.float64(-82.54621869521517)), (np.float64(27.34256028792149), np.float64(-82.54468355298482))]"
40,1326,0,202303,-82.5392705489,27.3377762972,27.33709447777851,-82.54003809160275,27.338458116621492,-82.53850300619726,"[(np.float64(27.33709447777851), np.float64(-82.54003809160275)), (np.float64(27.338458116621492), np.float64(-82.53850300619726))]"
