Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Is_Highlighted
212,332,0.0547945205479452,0,0,65,False
213,612,0.0547945205479452,0,0,161,False
214,956,0.0547945205479452,0,1,240,False
215,1093,0.0547945205479452,0,1,460,False
216,1787,0.0547945205479452,0,3,3,False
217,2084,0.0547945205479452,0,1,173,False
218,2597,0.0547945205479452,0,0,13,False
219,2744,0.0547945205479452,0,0,95,False
220,1033,0.0410958904109589,1,0,198,False
221,2403,0.0410958904109589,1,0,173,False
222,284,0.0410958904109589,0,0,256,False
223,363,0.0410958904109589,0,0,11,False
224,916,0.0410958904109589,0,0,143,False
225,1580,0.0410958904109589,0,0,49,False
226,1670,0.0410958904109589,0,0,30,False
227,1792,0.0410958904109589,0,0,200,False
228,2638,0.0410958904109589,0,0,140,False
229,2826,0.0410958904109589,0,0,100,False
230,2421,0.0273972602739726,2,0,87,False
231,61,0.0273972602739726,1,0,266,False
232,614,0.0273972602739726,1,0,173,False
233,645,0.0273972602739726,1,0,120,False
234,2025,0.0273972602739726,1,0,238,False
235,339,0.0273972602739726,0,1,2,False
236,369,0.0273972602739726,0,0,15,False
237,809,0.0273972602739726,0,0,176,False
238,876,0.0273972602739726,0,0,234,False
239,891,0.0273972602739726,0,0,13,False
240,1144,0.0273972602739726,0,0,214,False
241,1374,0.0273972602739726,0,0,449,False
242,1428,0.0273972602739726,0,0,42,False
243,1772,0.0273972602739726,0,1,204,False
244,1891,0.0273972602739726,0,2,328,False
245,1939,0.0273972602739726,0,0,30,False
246,2014,0.0273972602739726,0,0,12,False
247,2345,0.0273972602739726,0,0,90,False
248,2566,0.0273972602739726,0,0,80,False
249,621,0.0136986301369863,2,3,85,False
250,146,0.0136986301369863,1,0,1,False
251,188,0.0136986301369863,0,0,294,False
252,480,0.0136986301369863,0,1,70,False
253,523,0.0136986301369863,0,0,120,False
254,603,0.0136986301369863,0,0,397,False
255,676,0.0136986301369863,0,0,21,False
256,948,0.0136986301369863,0,0,194,False
257,1094,0.0136986301369863,0,0,466,False
258,1167,0.0136986301369863,0,1,43,False
259,1236,0.0136986301369863,0,0,107,False
260,1302,0.0136986301369863,0,0,110,False
261,1687,0.0136986301369863,0,0,543,False
262,1775,0.0136986301369863,0,0,355,False
263,1912,0.0136986301369863,0,0,76,False
264,2212,0.0136986301369863,0,0,572,False
265,2269,0.0136986301369863,0,0,112,False
266,2340,0.0136986301369863,0,1,16,False
267,2369,0.0136986301369863,0,0,61,False
268,2429,0.0136986301369863,0,0,339,False
269,2590,0.0136986301369863,0,0,513,False
270,2605,0.0136986301369863,0,0,107,False
271,2712,0.0136986301369863,0,0,124,False
272,2773,0.0136986301369863,0,0,181,False
273,1103,0.0,4,0,15,False
274,2221,0.0,3,0,65,False
275,97,0.0,2,0,223,False
276,325,0.0,2,0,314,False
277,898,0.0,2,0,633,False
278,955,0.0,2,0,478,False
279,1129,0.0,2,0,310,False
280,2518,0.0,2,0,184,False
281,2632,0.0,2,0,272,False
282,59,0.0,1,0,110,False
283,62,0.0,1,1,152,False
284,88,0.0,1,0,373,False
285,107,0.0,1,0,126,False
286,110,0.0,1,0,202,False
287,119,0.0,1,0,181,False
288,168,0.0,1,0,153,False
289,187,0.0,1,1,139,False
290,277,0.0,1,0,363,False
291,278,0.0,1,0,179,False
292,318,0.0,1,0,407,False
293,322,0.0,1,0,377,False
294,453,0.0,1,0,251,False
295,456,0.0,1,1,28,False
296,485,0.0,1,0,129,False
297,524,0.0,1,2,22,False
298,529,0.0,1,1,180,False
299,700,0.0,1,0,144,False
300,714,0.0,1,1,325,False
301,849,0.0,1,0,41,False
302,869,0.0,1,0,422,False
303,870,0.0,1,0,426,False
304,920,0.0,1,0,191,False
305,935,0.0,1,0,11,False
306,939,0.0,1,1,309,False
307,958,0.0,1,0,27,False
308,977,0.0,1,0,73,False
309,1090,0.0,1,0,115,False
310,1157,0.0,1,0,279,False
311,1171,0.0,1,0,315,False
312,1209,0.0,1,0,402,False
313,1211,0.0,1,0,40,False
314,1255,0.0,1,0,86,False
315,1258,0.0,1,0,311,False
316,1272,0.0,1,0,336,False
317,1281,0.0,1,0,296,False
318,1296,0.0,1,1,519,False
319,1405,0.0,1,0,272,False
320,1444,0.0,1,0,407,False
321,1455,0.0,1,1,202,False
322,1466,0.0,1,0,21,False
323,1511,0.0,1,2,12,False
324,1523,0.0,1,0,231,False
325,1574,0.0,1,0,300,False
326,1583,0.0,1,1,104,False
327,1637,0.0,1,0,191,False
328,1710,0.0,1,0,244,False
329,1749,0.0,1,0,112,False
330,1763,0.0,1,1,126,False
331,1770,0.0,1,1,34,False
332,1777,0.0,1,0,98,False
333,1813,0.0,1,0,65,False
334,1847,0.0,1,0,352,False
335,1867,0.0,1,1,55,False
336,1908,0.0,1,0,316,False
337,1913,0.0,1,1,120,False
338,1945,0.0,1,0,184,False
339,2023,0.0,1,1,268,False
340,2119,0.0,1,0,142,False
341,2138,0.0,1,0,195,False
342,2152,0.0,1,0,70,False
343,2159,0.0,1,0,246,False
344,2196,0.0,1,0,233,False
345,2216,0.0,1,1,186,False
346,2250,0.0,1,0,616,False
347,2252,0.0,1,0,234,False
348,2262,0.0,1,0,294,False
349,2324,0.0,1,0,148,False
350,2334,0.0,1,0,10,False
351,2358,0.0,1,0,481,False
352,2363,0.0,1,0,334,False
353,2413,0.0,1,0,148,False
354,2438,0.0,1,0,156,False
355,2488,0.0,1,0,262,False
356,2504,0.0,1,0,150,False
